Day,Account name,Reach,Frequency,Currency,Amount spent (USD),Impressions,"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all),Purchases,Cost per purchase,Purchases conversion value,Reporting starts,Reporting ends
,,156031,12.71300575,USD,31416.28,1983623,15.83782806,13343,2.35451398,0.67265806,30236,1.52428158,1.03903559,1057,29.72211921,69072.72,2023-07-01,2023-09-30
2023-07-01,Motiv8,7624,2.3251574,USD,257.46,17727,14.52360806,109,2.36201835,0.61488125,239,1.34822587,1.07723849,13,19.80461538,974.46,2023-07-01,2023-09-30
2023-07-02,Motiv8,8550,2.32807018,USD,281.90,19905,14.16227079,132,2.13560606,0.66314996,257,1.29113288,1.09688716,9,31.32222222,756.86,2023-07-01,2023-09-30
2023-07-03,Motiv8,8422,2.2692947,USD,272.57,19112,14.26172039,109,2.5006422,0.57032231,227,1.18773545,1.2007489,9,30.28555556,1311.92,2023-07-01,2023-09-30
2023-07-04,Motiv8,8698,2.25247183,USD,266.32,19592,13.59330339,112,2.37785714,0.5716619,228,1.1637403,1.16807018,15,17.75466667,1169.77,2023-07-01,2023-09-30
2023-07-05,Motiv8,8328,2.39253122,USD,261.22,19925,13.11016311,127,2.05685039,0.63739021,272,1.3651192,0.96036765,7,37.31714286,518.48,2023-07-01,2023-09-30
2023-07-06,Motiv8,8020,2.35710723,USD,259.12,18904,13.70715193,120,2.15933333,0.63478629,267,1.41239949,0.97048689,11,23.55636364,1942.57,2023-07-01,2023-09-30
2023-07-07,Motiv8,7316,2.50669765,USD,258.01,18339,14.06892415,140,1.84292857,0.7634004,303,1.65221659,0.85151815,12,21.50083333,923.55,2023-07-01,2023-09-30
2023-07-08,Motiv8,7744,2.32838326,USD,255.86,18031,14.1900061,147,1.74054422,0.8152626,279,1.54733515,0.91706093,5,51.172,281.23,2023-07-01,2023-09-30
2023-07-09,Motiv8,7600,2.24539474,USD,283.76,17065,16.62818635,107,2.65196262,0.62701436,268,1.57046587,1.05880597,6,47.29333333,319.57,2023-07-01,2023-09-30
2023-07-10,Motiv8,7738,2.39209098,USD,274.74,18510,14.84278768,112,2.45303571,0.60507834,238,1.28579146,1.15436975,10,27.474,475.28,2023-07-01,2023-09-30
2023-07-11,Motiv8,6972,2.37421113,USD,266.56,16553,16.10342536,96,2.77666667,0.5799553,215,1.29885821,1.23981395,9,29.61777778,736.82,2023-07-01,2023-09-30
2023-07-12,Motiv8,6498,2.44475223,USD,259.72,15886,16.34898653,87,2.98528736,0.54765202,188,1.18343195,1.38148936,18,14.42888889,1083.62,2023-07-01,2023-09-30
2023-07-13,Motiv8,7506,2.51918465,USD,284.41,18909,15.04098577,103,2.76126214,0.54471416,243,1.28510233,1.17041152,11,25.85545455,458.88,2023-07-01,2023-09-30
2023-07-14,Motiv8,7420,2.56280323,USD,297.43,19016,15.64103912,123,2.41813008,0.64682373,262,1.37778713,1.13522901,10,29.743,534.34,2023-07-01,2023-09-30
2023-07-15,Motiv8,7980,2.4216792,USD,294.79,19325,15.25433376,138,2.13615942,0.71410091,300,1.55239327,0.98263333,7,42.11285714,407.41,2023-07-01,2023-09-30
2023-07-16,Motiv8,8824,2.42599728,USD,312.16,21407,14.58214603,155,2.01393548,0.72406222,330,1.54155183,0.94593939,7,44.59428571,354.42,2023-07-01,2023-09-30
2023-07-17,Motiv8,8332,2.49471916,USD,304.09,20786,14.62955836,109,2.78981651,0.52439142,230,1.106514,1.32213043,6,50.68166667,399.91,2023-07-01,2023-09-30
