day,total_visitors,total_sessions
2023-07-01,546,613
2023-07-02,511,589
2023-07-03,517,567
2023-07-04,471,539
2023-07-05,519,583
2023-07-06,484,552
2023-07-07,576,641
2023-07-08,565,650
2023-07-09,550,607
2023-07-10,595,652
2023-07-11,638,709
2023-07-12,654,731
2023-07-13,1104,1215
2023-07-14,708,788
2023-07-15,529,590
2023-07-16,540,596
2023-07-17,715,802
2023-07-18,596,675
2023-07-19,628,728
2023-07-20,856,956
2023-07-21,557,633
2023-07-22,426,493
2023-07-23,501,565
2023-07-24,499,558
2023-07-25,616,694
2023-07-26,652,753
2023-07-27,794,869
2023-07-28,537,586
2023-07-29,454,497
2023-07-30,479,529
2023-07-31,568,650
2023-08-01,589,669
2023-08-02,1047,1133
2023-08-03,701,769
2023-08-04,636,694
2023-08-05,487,555
2023-08-06,578,650
2023-08-07,738,824
2023-08-08,669,743
2023-08-09,575,633
2023-08-10,891,978
2023-08-11,735,816
2023-08-12,641,710
2023-08-13,562,632
2023-08-14,619,692
2023-08-15,529,596
2023-08-16,609,655
2023-08-17,1039,1112
2023-08-18,677,757
2023-08-19,894,966
2023-08-20,729,797
2023-08-21,681,768
2023-08-22,664,739
2023-08-23,667,750
2023-08-24,1030,1129
2023-08-25,869,961
2023-08-26,769,855
2023-08-27,733,826
2023-08-28,803,889
2023-08-29,769,854
2023-08-30,695,777
2023-08-31,717,802
2023-09-01,558,610
2023-09-02,588,643
2023-09-03,708,768
2023-09-04,795,896
2023-09-05,613,714
2023-09-06,781,858
2023-09-07,769,841
2023-09-08,1063,1144
2023-09-09,640,715
2023-09-10,624,694
2023-09-11,608,673
2023-09-12,577,645
2023-09-13,954,1072
2023-09-14,801,907
2023-09-15,588,668
2023-09-16,542,628
2023-09-17,571,637
2023-09-18,797,921
2023-09-19,675,755
2023-09-20,1287,1434
2023-09-21,906,1031
2023-09-22,703,790
2023-09-23,533,598
2023-09-24,690,762
2023-09-25,875,1028
2023-09-26,653,740
2023-09-27,1549,1655
2023-09-28,1204,1356
2023-09-29,1097,1195
2023-09-30,1250,1310
